"y","x"
202,1
202,2
201,3
201,4
201,5
201,6
198,7
198,8
203,9
203,10
202,11
202,12
198,13
198,14
198,15
198,16
202,17
202,18
201,19
201,20
194,21
194,22
201,23
201,24
210,25
210,26
203,27
203,28
197,29
197,30
201,31
201,32
204,33
204,34
199,35
199,36
191,37
191,38
197,39
197,40
201,41
201,42
196,43
196,44
196,45
196,46
204,47
204,48
201,49
201,50
194,51
194,52
197,53
197,54
201,55
201,56
199,57
199,58
199,59
199,60
199,61
199,62
199,63
199,64
201,65
201,66
199,67
199,68
195,69
195,70
195,71
195,72
201,73
201,74
198,75
198,76
194,77
194,78
196,79
196,80
199,81
199,82
199,83
199,84
198,85
198,86
197,87
197,88
197,89
197,90
199,91
199,92
200,93
200,94
198,95
198,96
197,97
197,98
194,99
194,100
200,101
200,102
205,103
205,104
195,105
195,106
196,107
196,108
202,109
202,110
203,111
203,112
201,113
201,114
197,115
197,116
196,117
196,118
199,119
199,120
196,121
196,122
197,123
197,124
204,125
204,126
202,127
202,128
197,129
197,130
197,131
197,132
200,133
200,134
202,135
202,136
197,137
197,138
196,139
196,140
199,141
199,142
201,143
201,144
197,145
197,146
196,147
196,148
198,149
198,150
198,151
198,152
199,153
199,154
195,155
195,156
196,157
196,158
198,159
198,160
202,161
202,162
194,163
194,164
198,165
198,166
200,167
200,168
194,169
194,170
193,171
193,172
199,173
199,174
200,175
200,176
198,177
198,178
198,179
198,180
196,181
196,182
198,183
198,184
199,185
199,186
198,187
198,188
195,189
195,190
198,191
198,192
196,193
196,194
196,195
196,196
198,197
198,198
199,199
199,200
203,201
203,202
202,203
202,204
195,205
195,206
195,207
195,208
196,209
196,210
198,211
198,212
196,213
196,214
195,215
195,216
195,217
195,218
199,219
199,220
201,221
201,222
200,223
200,224
199,225
199,226
195,227
195,228
199,229
199,230
204,231
204,232
197,233
197,234
194,235
194,236
202,237
202,238
200,239
200,240
192,241
192,242
199,243
199,244
201,245
201,246
195,247
195,248
198,249
198,250
195,251
195,252
198,253
198,254
196,255
196,256
196,257
196,258
199,259
199,260
197,261
197,262
192,263
192,264
200,265
200,266
203,267
203,268
195,269
195,270
196,271
196,272
204,273
204,274
203,275
203,276
196,277
196,278
196,279
196,280
199,281
199,282
196,283
196,284
189,285
189,286
197,287
197,288
203,289
203,290
196,291
196,292
193,293
193,294
196,295
196,296
199,297
199,298
199,299
199,300
200,301
200,302
198,303
198,304
194,305
194,306
196,307
196,308
199,309
199,310
199,311
199,312
193,313
193,314
196,315
196,316
201,317
201,318
199,319
199,320
197,321
197,322
196,323
196,324
201,325
201,326
204,327
204,328
196,329
196,330
193,331
193,332
199,333
199,334
198,335
198,336
193,337
193,338
189,339
189,340
198,341
198,342
202,343
202,344
194,345
194,346
193,347
193,348
199,349
199,350
196,351
196,352
197,353
197,354
200,355
200,356
199,357
199,358
197,359
197,360
196,361
196,362
200,363
200,364
200,365
200,366
192,367
192,368
190,369
190,370
195,371
195,372
195,373
195,374
194,375
194,376
195,377
195,378
199,379
199,380
198,381
198,382
194,383
194,384
198,385
198,386
200,387
200,388
197,389
197,390
190,391
190,392
198,393
198,394
198,395
198,396
195,397
195,398
195,399
195,400
200,401
200,402
198,403
198,404
192,405
192,406
198,407
198,408
203,409
203,410
200,411
200,412
197,413
197,414
197,415
197,416
197,417
197,418
196,419
196,420
198,421
198,422
197,423
197,424
198,425
198,426
198,427
198,428
195,429
195,430
194,431
194,432
196,433
196,434
197,435
197,436
199,437
199,438
199,439
199,440
192,441
192,442
193,443
193,444
198,445
198,446
198,447
198,448
192,449
192,450
197,451
197,452
198,453
198,454
197,455
197,456
207,457
207,458
220,459
220,460
226,461
226,462
236,463
236,464
253,465
253,466
265,467
265,468
284,469
284,470
312,471
312,472
338,473
338,474
365,475
365,476
410,477
410,478
465,479
465,480
513,481
513,482
510,483
510,484
494,485
494,486
504,487
504,488
510,489
510,490
497,491
497,492
492,493
492,494
502,495
502,496
503,497
503,498
490,499
490,500
493,501
493,502
501,503
501,504
496,505
496,506
489,507
489,508
497,509
497,510
499,511
499,512
495,513
495,514
491,515
491,516
494,517
494,518
494,519
494,520
490,521
490,522
491,523
491,524
492,525
492,526
494,527
494,528
492,529
492,530
495,531
495,532
494,533
494,534
490,535
490,536
494,537
494,538
492,539
492,540
492,541
492,542
493,543
493,544
491,545
491,546
488,547
488,548
491,549
491,550
491,551
491,552
490,553
490,554
496,555
496,556
493,557
493,558
490,559
490,560
493,561
493,562
493,563
493,564
492,565
492,566
490,567
490,568
487,569
487,570
487,571
487,572
493,573
493,574
487,575
487,576
487,577
487,578
492,579
492,580
496,581
496,582
487,583
487,584
486,585
486,586
494,587
494,588
493,589
493,590
485,591
485,592
485,593
485,594
488,595
488,596
489,597
489,598
487,599
487,600
485,601
485,602
486,603
486,604
488,605
488,606
484,607
484,608
481,609
481,610
490,611
490,612
492,613
492,614
484,615
484,616
481,617
481,618
486,619
486,620
492,621
492,622
485,623
485,624
484,625
484,626
486,627
486,628
484,629
484,630
482,631
482,632
485,633
485,634
489,635
489,636
489,637
489,638
483,639
483,640
484,641
484,642
488,643
488,644
484,645
484,646
481,647
481,648
489,649
489,650
486,651
486,652
479,653
479,654
481,655
481,656
484,657
484,658
484,659
484,660
481,661
481,662
486,663
486,664
487,665
487,666
486,667
486,668
483,669
483,670
480,671
480,672
487,673
487,674
488,675
488,676
482,677
482,678
478,679
478,680
482,681
482,682
484,683
484,684
485,685
485,686
483,687
483,688
482,689
482,690
479,691
479,692
484,693
484,694
488,695
488,696
482,697
482,698
477,699
477,700
480,701
480,702
486,703
486,704
484,705
484,706
476,707
476,708
480,709
480,710
486,711
486,712
480,713
480,714
477,715
477,716
481,717
481,718
478,719
478,720
481,721
481,722
481,723
481,724
479,725
479,726
481,727
481,728
480,729
480,730
480,731
480,732
475,733
475,734
479,735
479,736
482,737
482,738
479,739
479,740
478,741
478,742
482,743
482,744
482,745
482,746
475,747
475,748
475,749
475,750
480,751
480,752
480,753
480,754
481,755
481,756
479,757
479,758
476,759
476,760
477,761
477,762
479,763
479,764
479,765
479,766
477,767
477,768
477,769
477,770
477,771
477,772
480,773
480,774
479,775
479,776
472,777
472,778
474,779
474,780
482,781
482,782
474,783
474,784
469,785
469,786
477,787
477,788
479,789
479,790
473,791
473,792
475,793
475,794
477,795
477,796
476,797
476,798
481,799
481,800
475,801
475,802
471,803
471,804
475,805
475,806
480,807
480,808
475,809
475,810
472,811
472,812
473,813
